subject,category,source_family,indicator_group,period,period_end,grain,metric_key,metric_name,metric_detail,value,unit,official_value,official_unit,verification_status,quality_status,official_source_label,official_source_url,official_evidence,verification_count,verification_method,verification_sources,verification_note,cmhk_relevance
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2015/16,2016-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.31,million,7.31,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2015 / 2016; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2016/17,2017-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.378,million,7.378,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2016 / 2017; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2017/18,2018-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.415,million,7.415,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2017 / 2018; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2018/19,2019-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.488,million,7.488,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2018 / 2019; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2019/20,2020-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.521,million,7.521,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2019 / 2020; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2020/21,2021-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.427,million,7.427,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2020 / 2021; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2021/22,2022-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.402,million,7.402,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2021 / 2022; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2022/23,2023-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.473,million,7.473,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2022 / 2023; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2023/24,2024-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.528,million,7.528,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2023 / 2024; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
Hong Kong telecommunications market,macro_policy,OFCA telecommunications indicators,Demography,FY2024/25,2025-03-31,fiscal_year,population,Population (million),Population (million) ( Note 1 ),7.501,million,7.501,million,official_match,official_public_table,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,OFCA historical telecommunications indicators table reports Population (million) for 2024 / 2025; latest ten-year window retained for CMHK macro trend context.,2,official_table_plus_official_index_crosscheck,"[{""label"": ""OFCA historical telecommunications indicators table"", ""url"": ""https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm"", ""evidence"": ""Historical official table covering fiscal years 2005/06 to 2024/25.""}, {""label"": ""OFCA telecommunications indicators index"", ""url"": ""https://www.ofca.gov.hk/en/news_info/data_statistics/indicators/index.html"", ""evidence"": ""Official index links the current annual telecommunications indicators and definitions.""}]",Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.,"Market demand, saturation, investment, traffic, workforce, and pricing context for CMHK mobile, fixed, broadband, enterprise connectivity, and cloud-adjacent services."
