subject,source_family,period,metric_key,metric_name,official_value,official_unit,verification_status,verification_count,official_source_label,official_source_url,verification_method,note
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,population,Population (million),7.31,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,population,Population (million),7.378,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,population,Population (million),7.415,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,population,Population (million),7.488,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,population,Population (million),7.521,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,population,Population (million),7.427,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,population,Population (million),7.402,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,population,Population (million),7.473,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,population,Population (million),7.528,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,population,Population (million),7.501,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,households,Households (million) ( Note 2 ),2.471,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,households,Households (million) ( Note 2 ),2.499,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,households,Households (million) ( Note 2 ),2.533,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,households,Households (million) ( Note 2 ),2.564,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
