subject,legal_name,ticker,metric_key,metric_zh,year,value,unit
中国移动,China Mobile Limited,0941.HK,revenue,营业收入/收益,2023,"1,009,309",millions CNY
中国移动,China Mobile Limited,0941.HK,revenue,营业收入/收益,2024,"1,040,759",millions CNY
中国移动,China Mobile Limited,0941.HK,revenue,营业收入/收益,2025,"1,050,187",millions CNY
中国移动,China Mobile Limited,0941.HK,revenue_growth_yoy,收入同比增长,2023,7.69%,millions CNY
中国移动,China Mobile Limited,0941.HK,revenue_growth_yoy,收入同比增长,2024,3.12%,millions CNY
中国移动,China Mobile Limited,0941.HK,revenue_growth_yoy,收入同比增长,2025,0.91%,millions CNY
中国移动,China Mobile Limited,0941.HK,gross_profit,毛利,2023,"284,705",millions CNY
中国移动,China Mobile Limited,0941.HK,gross_profit,毛利,2024,"301,770",millions CNY
中国移动,China Mobile Limited,0941.HK,gross_profit,毛利,2025,"302,975",millions CNY
中国移动,China Mobile Limited,0941.HK,gross_margin,毛利率,2023,28.21%,millions CNY
中国移动,China Mobile Limited,0941.HK,gross_margin,毛利率,2024,28.99%,millions CNY
中国移动,China Mobile Limited,0941.HK,gross_margin,毛利率,2025,28.85%,millions CNY
中国移动,China Mobile Limited,0941.HK,operating_income,经营利润/营业利润,2023,"139,349",millions CNY
中国移动,China Mobile Limited,0941.HK,operating_income,经营利润/营业利润,2024,"144,155",millions CNY
中国移动,China Mobile Limited,0941.HK,operating_income,经营利润/营业利润,2025,"149,230",millions CNY
中国移动,China Mobile Limited,0941.HK,operating_margin,经营利润率,2023,13.81%,millions CNY
中国移动,China Mobile Limited,0941.HK,operating_margin,经营利润率,2024,13.85%,millions CNY
中国移动,China Mobile Limited,0941.HK,operating_margin,经营利润率,2025,14.21%,millions CNY
中国移动,China Mobile Limited,0941.HK,net_income,净利润/股东应占利润,2023,"131,766",millions CNY
中国移动,China Mobile Limited,0941.HK,net_income,净利润/股东应占利润,2024,"138,373",millions CNY
中国移动,China Mobile Limited,0941.HK,net_income,净利润/股东应占利润,2025,"137,095",millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda,EBITDA,2023,"346,481",millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda,EBITDA,2024,"335,256",millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda,EBITDA,2025,"295,216",millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda_margin,EBITDA率,2023,34.33%,millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda_margin,EBITDA率,2024,32.21%,millions CNY
中国移动,China Mobile Limited,0941.HK,ebitda_margin,EBITDA率,2025,28.11%,millions CNY
中国移动,China Mobile Limited,0941.HK,operating_cash_flow,经营现金流,2023,"303,780",millions CNY
中国移动,China Mobile Limited,0941.HK,operating_cash_flow,经营现金流,2024,"315,741",millions CNY
中国移动,China Mobile Limited,0941.HK,operating_cash_flow,经营现金流,2025,"232,919",millions CNY
中国移动,China Mobile Limited,0941.HK,capital_expenditures,资本开支,2023,"-181,263",millions CNY
中国移动,China Mobile Limited,0941.HK,capital_expenditures,资本开支,2024,"-155,979",millions CNY
中国移动,China Mobile Limited,0941.HK,capital_expenditures,资本开支,2025,"-156,951",millions CNY
中国移动,China Mobile Limited,0941.HK,free_cash_flow,自由现金流,2023,"122,517",millions CNY
中国移动,China Mobile Limited,0941.HK,free_cash_flow,自由现金流,2024,"159,762",millions CNY
中国移动,China Mobile Limited,0941.HK,free_cash_flow,自由现金流,2025,"75,968",millions CNY
中国移动,China Mobile Limited,0941.HK,cash_and_equivalents,现金及等价物,2023,"178,772",millions CNY
中国移动,China Mobile Limited,0941.HK,cash_and_equivalents,现金及等价物,2024,"242,275",millions CNY
中国移动,China Mobile Limited,0941.HK,cash_and_equivalents,现金及等价物,2025,"171,094",millions CNY
中国移动,China Mobile Limited,0941.HK,total_assets,总资产,2023,"1,957,357",millions CNY
中国移动,China Mobile Limited,0941.HK,total_assets,总资产,2024,"2,072,827",millions CNY
中国移动,China Mobile Limited,0941.HK,total_assets,总资产,2025,"2,092,882",millions CNY
中国移动,China Mobile Limited,0941.HK,total_debt,总债务,2023,"102,934",millions CNY
中国移动,China Mobile Limited,0941.HK,total_debt,总债务,2024,"88,442",millions CNY
中国移动,China Mobile Limited,0941.HK,total_debt,总债务,2025,"101,197",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue,营业收入/收益,2023,"513,551",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue,营业收入/收益,2024,"523,569",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue,营业收入/收益,2025,"523,925",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue_growth_yoy,收入同比增长,2023,6.67%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue_growth_yoy,收入同比增长,2024,1.95%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,revenue_growth_yoy,收入同比增长,2025,0.07%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_profit,毛利,2023,"260,335",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_profit,毛利,2024,"150,067",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_profit,毛利,2025,"152,310",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_margin,毛利率,2023,50.69%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_margin,毛利率,2024,28.66%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,gross_margin,毛利率,2025,29.07%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_income,经营利润/营业利润,2023,"37,128",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_income,经营利润/营业利润,2024,"39,117",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_income,经营利润/营业利润,2025,"40,325",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_margin,经营利润率,2023,7.23%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_margin,经营利润率,2024,7.47%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_margin,经营利润率,2025,7.70%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,net_income,净利润/股东应占利润,2023,"30,446",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,net_income,净利润/股东应占利润,2024,"33,012",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,net_income,净利润/股东应占利润,2025,"33,185",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2023,"112,362",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2024,"123,998",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2025,"119,803",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda_margin,EBITDA率,2023,21.88%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda_margin,EBITDA率,2024,23.68%,millions CNY
