subject,metric_key,metric_zh,year,local_value,status,source_kind,online_metric,online_value,note,source_url
中国移动,revenue,营业收入/收益,2023,"1,009,309",ok,income,Revenue,1009309,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,revenue,营业收入/收益,2024,"1,040,759",ok,income,Revenue,1040759,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,revenue,营业收入/收益,2025,"1,050,187",ok,income,Revenue,1050187,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,revenue_growth_yoy,收入同比增长,2023,7.69%,ok,income,Revenue Growth (YoY),7.69%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,revenue_growth_yoy,收入同比增长,2024,3.12%,ok,income,Revenue Growth (YoY),3.12%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,revenue_growth_yoy,收入同比增长,2025,0.91%,ok,income,Revenue Growth (YoY),0.91%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_profit,毛利,2023,"284,705",ok,income,Gross Profit,284705,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_profit,毛利,2024,"301,770",ok,income,Gross Profit,301770,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_profit,毛利,2025,"302,975",ok,income,Gross Profit,302975,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_margin,毛利率,2023,28.21%,ok,income,Gross Margin,28.21%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_margin,毛利率,2024,28.99%,ok,income,Gross Margin,28.99%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,gross_margin,毛利率,2025,28.85%,ok,income,Gross Margin,28.85%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_income,经营利润/营业利润,2023,"139,349",ok,income,Operating Income,139349,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_income,经营利润/营业利润,2024,"144,155",ok,income,Operating Income,144155,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_income,经营利润/营业利润,2025,"149,230",ok,income,Operating Income,149230,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_margin,经营利润率,2023,13.81%,ok,income,Operating Margin,13.81%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_margin,经营利润率,2024,13.85%,ok,income,Operating Margin,13.85%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,operating_margin,经营利润率,2025,14.21%,ok,income,Operating Margin,14.21%,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
中国移动,net_income,净利润/股东应占利润,2023,"131,766",ok,income,Net Income,131766,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/
