operator_id,operator,year,metric_key,status
china_mobile,中国移动,2016,mobile_subscribers,available
china_mobile,中国移动,2016,5g_network_subscribers,not_collected
china_mobile,中国移动,2016,fixed_broadband_subscribers,available
china_mobile,中国移动,2016,mobile_arpu,available
china_mobile,中国移动,2016,mobile_dou,available
china_mobile,中国移动,2016,handset_data_traffic,available
china_mobile,中国移动,2016,5g_base_stations,not_collected
china_mobile,中国移动,2017,mobile_subscribers,available
china_mobile,中国移动,2017,5g_network_subscribers,not_collected
china_mobile,中国移动,2017,fixed_broadband_subscribers,available
china_mobile,中国移动,2017,mobile_arpu,available
china_mobile,中国移动,2017,mobile_dou,available
china_mobile,中国移动,2017,handset_data_traffic,available
china_mobile,中国移动,2017,5g_base_stations,not_collected
china_mobile,中国移动,2018,mobile_subscribers,available
china_mobile,中国移动,2018,5g_network_subscribers,not_collected
china_mobile,中国移动,2018,fixed_broadband_subscribers,available
china_mobile,中国移动,2018,mobile_arpu,available
china_mobile,中国移动,2018,mobile_dou,available
china_mobile,中国移动,2018,handset_data_traffic,available
china_mobile,中国移动,2018,5g_base_stations,not_collected
china_mobile,中国移动,2019,mobile_subscribers,available
china_mobile,中国移动,2019,5g_network_subscribers,not_collected
china_mobile,中国移动,2019,fixed_broadband_subscribers,available
china_mobile,中国移动,2019,mobile_arpu,available
china_mobile,中国移动,2019,mobile_dou,available
china_mobile,中国移动,2019,handset_data_traffic,available
china_mobile,中国移动,2019,5g_base_stations,available
china_mobile,中国移动,2020,mobile_subscribers,available
china_mobile,中国移动,2020,5g_network_subscribers,not_collected
china_mobile,中国移动,2020,fixed_broadband_subscribers,available
china_mobile,中国移动,2020,mobile_arpu,available
china_mobile,中国移动,2020,mobile_dou,available
china_mobile,中国移动,2020,handset_data_traffic,available
china_mobile,中国移动,2020,5g_base_stations,available
china_mobile,中国移动,2021,mobile_subscribers,available
china_mobile,中国移动,2021,5g_network_subscribers,available
china_mobile,中国移动,2021,fixed_broadband_subscribers,available
china_mobile,中国移动,2021,mobile_arpu,available
china_mobile,中国移动,2021,mobile_dou,available
china_mobile,中国移动,2021,handset_data_traffic,available
china_mobile,中国移动,2021,5g_base_stations,available
china_mobile,中国移动,2022,mobile_subscribers,available
china_mobile,中国移动,2022,5g_network_subscribers,available
china_mobile,中国移动,2022,fixed_broadband_subscribers,available
china_mobile,中国移动,2022,mobile_arpu,available
china_mobile,中国移动,2022,mobile_dou,available
china_mobile,中国移动,2022,handset_data_traffic,available
china_mobile,中国移动,2022,5g_base_stations,available
china_mobile,中国移动,2023,mobile_subscribers,available
china_mobile,中国移动,2023,5g_network_subscribers,available
china_mobile,中国移动,2023,fixed_broadband_subscribers,available
china_mobile,中国移动,2023,mobile_arpu,available
china_mobile,中国移动,2023,mobile_dou,available
china_mobile,中国移动,2023,handset_data_traffic,available
china_mobile,中国移动,2023,5g_base_stations,available
china_mobile,中国移动,2024,mobile_subscribers,available
china_mobile,中国移动,2024,5g_network_subscribers,available
china_mobile,中国移动,2024,fixed_broadband_subscribers,available
china_mobile,中国移动,2024,mobile_arpu,available
china_mobile,中国移动,2024,mobile_dou,available
china_mobile,中国移动,2024,handset_data_traffic,available
china_mobile,中国移动,2024,5g_base_stations,available
china_mobile,中国移动,2025,mobile_subscribers,available
china_mobile,中国移动,2025,5g_network_subscribers,available
china_mobile,中国移动,2025,fixed_broadband_subscribers,source_gap_confirmed
china_mobile,中国移动,2025,mobile_arpu,available
china_mobile,中国移动,2025,mobile_dou,available
china_mobile,中国移动,2025,handset_data_traffic,available
china_mobile,中国移动,2025,5g_base_stations,available
china_telecom,中国电信,2016,mobile_subscribers,available
china_telecom,中国电信,2016,5g_network_subscribers,not_collected
china_telecom,中国电信,2016,fixed_broadband_subscribers,available
china_telecom,中国电信,2016,mobile_arpu,source_gap_confirmed
china_telecom,中国电信,2016,handset_data_traffic,available
china_telecom,中国电信,2016,5g_base_stations,not_collected
china_telecom,中国电信,2017,mobile_subscribers,available
china_telecom,中国电信,2017,5g_network_subscribers,not_collected
china_telecom,中国电信,2017,fixed_broadband_subscribers,available
china_telecom,中国电信,2017,mobile_arpu,source_gap_confirmed
china_telecom,中国电信,2017,handset_data_traffic,available
china_telecom,中国电信,2017,5g_base_stations,not_collected
china_telecom,中国电信,2018,mobile_subscribers,available
china_telecom,中国电信,2018,5g_network_subscribers,not_collected
china_telecom,中国电信,2018,fixed_broadband_subscribers,available
china_telecom,中国电信,2018,mobile_arpu,source_gap_confirmed
china_telecom,中国电信,2018,handset_data_traffic,available
china_telecom,中国电信,2018,5g_base_stations,not_collected
china_telecom,中国电信,2019,mobile_subscribers,available
china_telecom,中国电信,2019,5g_network_subscribers,not_collected
china_telecom,中国电信,2019,fixed_broadband_subscribers,available
china_telecom,中国电信,2019,mobile_arpu,source_gap_confirmed
china_telecom,中国电信,2019,handset_data_traffic,available
china_telecom,中国电信,2019,5g_base_stations,not_collected
china_telecom,中国电信,2020,mobile_subscribers,available
china_telecom,中国电信,2020,5g_network_subscribers,not_collected
china_telecom,中国电信,2020,fixed_broadband_subscribers,available
china_telecom,中国电信,2020,mobile_arpu,available
china_telecom,中国电信,2020,handset_data_traffic,available
china_telecom,中国电信,2020,5g_base_stations,available
china_telecom,中国电信,2021,mobile_subscribers,available
china_telecom,中国电信,2021,5g_network_subscribers,not_collected
china_telecom,中国电信,2021,fixed_broadband_subscribers,available
china_telecom,中国电信,2021,mobile_arpu,available
china_telecom,中国电信,2021,handset_data_traffic,available
china_telecom,中国电信,2021,5g_base_stations,available
china_telecom,中国电信,2022,mobile_subscribers,available
china_telecom,中国电信,2022,5g_network_subscribers,not_collected
china_telecom,中国电信,2022,fixed_broadband_subscribers,available
china_telecom,中国电信,2022,mobile_arpu,available
china_telecom,中国电信,2022,handset_data_traffic,available
china_telecom,中国电信,2022,5g_base_stations,available
china_telecom,中国电信,2023,mobile_subscribers,available
china_telecom,中国电信,2023,5g_network_subscribers,not_collected
china_telecom,中国电信,2023,fixed_broadband_subscribers,available
