record_key,captured_at_hkt,period_label,brand,product_category,service_generation,customer_segment,plan_family,plan_name,monthly_fee_hkd,average_monthly_fee_hkd,local_data_gb,roaming_data_gb,broadband_speed_mbps,post_fup_speed_mbps,contract_months,local_voice,add_on_charges_hkd,tariff_type,source_status,verification_count,verification_status,source_id,source_url,archive_url,http_status,content_hash,evidence_excerpt
48c465a7a5ea4ed9,2026-07-08T14:56:52+08:00,2026,HKBN,home_fibre_broadband,Fibre/Broadband,public_housing_reference,HKBN Home Broadband,HKBN 2500M broadband public_housing_reference InvestBrother 2025 reference HK$149,149,,,,2500,,24,,,public_third_party_broadband_comparison_reference,public_third_party_comparison_needs_review,3,multi_source_or_multi_snapshot_verified,hkbn_investbrother_broadband_comparison_2025,https://www.investbrother.com/brother-academy/broadband-comparison/,http://web.archive.org/web/20260306152923/https://www.investbrother.com/brother-academy/broadband-comparison/,200,f9a42c535b766d128d000a440abd8c1080bff6bb,公屋月費 HK$149；InvestBrother 页面注明价格及优惠内容作参考，详情请查阅官网。 家居寬頻上網邊間最抵？5大電訊商計劃費用+優惠大比拼 商業新聞 即時新聞 宏觀經濟 產業動態 新創企業 企業管理 投資世界 股票證券 加密貨幣 外匯交易 基金債券 退休理財 / 保險 即時行情 個人金融 信用卡 私人貸款 銀行戶口 優惠 / 獎勵計劃 地產市場 樓市分析 買賣攻略 按揭資訊 海外物業 租金 / 貸款工具 專題 & 生活 專題洞察 理財心法 消費指南 旅遊休閒 創業職場 新潮趨勢 比較工具 信用卡比較 交易所比較 外匯券商比較 銀行戶口比較 貸款比較 股票戶口比較 商業新聞 即時新聞 宏觀經濟 產業動態 新創企業 企業管理 投資世界 股票證券 加密貨幣 外匯交易 基金債券 退休理財 / 保險 即時行情 個人金融 信用卡 私人貸款 銀行戶口 優惠 / 獎勵計劃 地產市場 樓市分析 買賣攻略 按揭資訊 海外物業 租金 / 貸款工具 專題 & 生活 專題洞察 理財心法 消費指南 旅遊休閒 創業職場 新潮趨勢 比較工具 信用卡比較 交易所比較 外匯券商比較 銀行戶口比較 貸款比較 
2d06f9c66f13cc50,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 200M HK$58,58,,,,200,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
5001f481101de3f0,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 1000M HK$68,68,,,,1000,,,,,monthly_plan_fee,public_channel_offer_needs_review,5,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
efc3071e57b9ab25,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 1000M HK$75,75,,,,1000,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
4e2a63ffcaa9dd5b,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 1000M X2 HK$98,98,,,,2000,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
e4bd8c8308d4752f,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 私人屋苑 200M HK$78,78,,,,200,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
07644a6759e784f5,2026-07-08T14:56:52+08:00,2023,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 私人屋苑 1000M HK$98,98,,,,1000,,,,,monthly_plan_fee,public_channel_offer_needs_review,8,multi_source_or_multi_snapshot_verified,icable_broadband_offer,https://www.i-cablebroadband-offer.com/,http://web.archive.org/web/20230723204142/https://www.i-cablebroadband-offer.com/,200,a97288c79ff66988b2488efd251472bd39aa7c90,"鎖定限時優惠 ​穩定服務保證 設有服務保證計劃,保障你的寬頻上網體驗 ​(適用於指定光纖服務計劃) whatapp 96831853 致電查詢96831853 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router路由器 ​加$20家居電話 1000M X2 $98 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 有線寬頻+My tv super計劃 致電查詢96831853 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本"
731b2b03e4279230,2026-07-08T14:56:52+08:00,2024,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 200M HK$58,58,,,,200,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_plan_detail,https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,http://web.archive.org/web/20240712123128/https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,200,8cd48f400e8b27548d1e7688fc8cd0f6265f1100,有線寬頻服務計劃詳情 | I Cable Offer top of page 有線寬頻 I-CABLE 最新優惠查詢 ​ 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router 1G路由器 ​加$20家居電話 1000M X2 $98 （ 打機專用） 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 （打機專用） 有線寬頻+My tv super計劃 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本版 加$20
5e4ea45c7d4b4fb0,2026-07-08T14:56:52+08:00,2024,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 1000M HK$68,68,,,,1000,,,,,monthly_plan_fee,public_channel_offer_needs_review,5,multi_source_or_multi_snapshot_verified,icable_broadband_plan_detail,https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,http://web.archive.org/web/20240712123128/https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,200,8cd48f400e8b27548d1e7688fc8cd0f6265f1100,有線寬頻服務計劃詳情 | I Cable Offer top of page 有線寬頻 I-CABLE 最新優惠查詢 ​ 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router 1G路由器 ​加$20家居電話 1000M X2 $98 （ 打機專用） 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 （打機專用） 有線寬頻+My tv super計劃 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本版 加$20
4846169f30199501,2026-07-08T14:56:52+08:00,2024,i-CABLE,home_fibre_broadband,Fibre/Broadband,家庭宽频客户,i-CABLE Broadband,i-CABLE Broadband 公屋居屋 1000M HK$75,75,,,,1000,,,,,monthly_plan_fee,public_channel_offer_needs_review,6,multi_source_or_multi_snapshot_verified,icable_broadband_plan_detail,https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,http://web.archive.org/web/20240712123128/https://www.i-cablebroadband-offer.com/%E6%9C%89%E7%B7%9A%E5%AF%AC%E9%A0%BB%E6%9C%8D%E5%8B%99%E8%A8%88%E5%8A%83%E8%A9%B3%E6%83%85,200,8cd48f400e8b27548d1e7688fc8cd0f6265f1100,有線寬頻服務計劃詳情 | I Cable Offer top of page 有線寬頻 I-CABLE 最新優惠查詢 ​ 服務計劃詳情 公屋居屋 200M $58 1000M $68 1000M $75 送Tplink c6 router 1G路由器 ​加$20家居電話 1000M X2 $98 （ 打機專用） 私人屋苑 200M $78 送Tplink ax20 wifi 6 router/Tplink mesh m4 router 1000M $98 送Tplink ax20 wifi 6 router/Tplink mesh m4 router ​加$20家居電話 1000M X2 $128 （打機專用） 有線寬頻+My tv super計劃 200M $88 送Mytv Super基本版 1000M $98 送Mytv Super基本版 加$20
