operator_id,operator,legal_name,year,period,period_end,grain,metric_key,metric_zh,value,official_value,unit,comparator,scope,basis,verification_status,verification_count,primary_source_id,primary_source_url,verification_sources,reviewed_source_count,reviewed_source_ids,reviewed_source_urls,audit_outcome,gap_reason_code,gap_reason,quality_note
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_base_station_expansion,5G基站擴展幅度,,,percent,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,precommercial_kpi_not_defined,香港商业5G于2020年推出；FY2016官方材料没有把5G基站擴展幅度定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。,香港商业5G于2020年推出；FY2016官方材料没有把5G基站擴展幅度定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_base_stations,5G基站數,,,base_stations,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,precommercial_kpi_not_defined,香港商业5G于2020年推出；FY2016官方材料没有把5G基站數定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。,香港商业5G于2020年推出；FY2016官方材料没有把5G基站數定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_customers,5G客戶,0,0,million_customers,=,commercial post-paid 5G customer base,year_end,operational_zero_from_precommercial_timeline,3,hkt_ar_2016,https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]",3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",value_verified,,,"Commercial 5G service had not launched; zero is a verified commercial-customer state, not an issuer-published KPI."
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_home_broadband_ebitda_growth,5G家庭寬頻EBITDA增長,,,percent,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,precommercial_kpi_not_defined,香港商业5G于2020年推出；FY2016官方材料没有把5G家庭寬頻EBITDA增長定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。,香港商业5G于2020年推出；FY2016官方材料没有把5G家庭寬頻EBITDA增長定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_home_broadband_revenue_growth,5G家庭寬頻收入增長,,,percent,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,precommercial_kpi_not_defined,香港商业5G于2020年推出；FY2016官方材料没有把5G家庭寬頻收入增長定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。,香港商业5G于2020年推出；FY2016官方材料没有把5G家庭寬頻收入增長定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_penetration,5G滲透率,0,0,percent,=,commercial 5G penetration within post-paid customer base,year_end,operational_zero_from_precommercial_timeline,3,hkt_ar_2016,https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]",3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",value_verified,,,Commercial 5G did not exist in Hong Kong before 2020; 0% records the verified pre-commercial state rather than a published issuer KPI.
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,5g_population_coverage,5G人口覆蓋率,,,percent,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,precommercial_kpi_not_defined,香港商业5G于2020年推出；FY2016官方材料没有把5G人口覆蓋率定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。,香港商业5G于2020年推出；FY2016官方材料没有把5G人口覆蓋率定义为可复用年度KPI。仅5G客户与渗透率在可证明为商业服务零值时单独记0，其余不推定。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,annual_mobile_data_traffic,年度移動數據流量,,,TB,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,growth_only_no_absolute_value,已复核HKT FY2016年报、业绩公告及演示；仅见数据用量或流量增长描述，没有年度移動數據流量的年度绝对值，不能从增长率反推。,已复核HKT FY2016年报、业绩公告及演示；仅见数据用量或流量增长描述，没有年度移動數據流量的年度绝对值，不能从增长率反推。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,commercial_buildings_covered,商業樓宇覆蓋,,,buildings,=,"reviewed official annual report, results announcement and presentation",year_end,source_gap_confirmed,0,,,[],3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",source_gap_confirmed,not_numerically_disclosed,已逐项复核HKT FY2016官方年报、业绩公告及业绩演示；商業樓宇覆蓋没有直接可复用的年度数值，定性表述、不同口径或无基数增长未转换为数值。,已逐项复核HKT FY2016官方年报、业绩公告及业绩演示；商業樓宇覆蓋没有直接可复用的年度数值，定性表述、不同口径或无基数增长未转换为数值。
hkt,HKT,HKT Trust and HKT Limited,2016,FY2016,2016-12-31,annual,consumer_broadband_customers,住宅寬頻客戶,1.401,1.401,million_customers,=,retail consumer broadband access lines,year_end,official_three_distinct_sources_verified,3,hkt_ar_2016,https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]",3,"[""hkt_ar_2016"", ""hkt_results_2016"", ""hkt_presentation_2016""]","[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",value_verified,,,FY2021 was corrected from 1.637m total broadband access lines to the directly comparable 1.461m retail consumer line count.
