row_no,subject,category,legal_name,ticker,period,period_end,grain,metric_key,metric_zh,value,unit,disclosure_frequency,quality_status,verification_status,official_value,official_unit,official_source_label,official_source_url,official_evidence,verification_count,verification_method,verification_sources,verification_note
1,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2023,"Jun 30, 2023",half_year,capital_expenditures,资本开支,-163,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-163,millions HKD,HTHKH 2023 Interim Report,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,"2023中报MD&A披露1H 2023 CAPEX excluding telecommunications licences为163百万港元；现金流量表列示Purchases of property, plant and equipment为163百万港元，现金流出口径记为负数。",3,official_interim_capex_multi_section_check,"[{""label"": ""HTHKH 2023 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""evidence"": ""1H 2023 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2023 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
2,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2023,"Dec 31, 2023",half_year,capital_expenditures,资本开支,-318,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-318,millions HKD,HTHKH 2023 Annual Report,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,2023年报披露全年CAPEX excluding telecommunications licences为481；减1H 163，复算H2资本开支318百万港元，现金流出口径记为负数；现金流量表全年购置固定资产同为481。,5,official_full_year_minus_h1_capex_reconciliation,"[{""label"": ""HTHKH 2023 Interim Report"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf"", ""evidence"": ""2023全年Total revenue、Total EBITDA、Total LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf"", ""evidence"": ""2023全年Revenue、net customer service revenue、total margin、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2023 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""evidence"": ""2023全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf"", ""evidence"": ""2023年底现金、总资产和租赁负债。""}]",标准化表与官方值一致，差异 0.000。
3,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2024,"Jun 30, 2024",half_year,capital_expenditures,资本开支,-166,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-166,millions HKD,HTHKH 2024 Interim Report,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,"2024中报MD&A披露1H 2024 CAPEX excluding telecommunications licences为166百万港元；现金流量表列示Purchases of property, plant and equipment为166百万港元，现金流出口径记为负数。",3,official_interim_capex_multi_section_check,"[{""label"": ""HTHKH 2024 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2024 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf"", ""evidence"": ""1H 2024 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2024 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
4,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2024,"Dec 31, 2024",half_year,capital_expenditures,资本开支,-,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,-268,millions HKD,HTHKH 2024 Annual Report,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,2024年报披露全年CAPEX excluding telecommunications licences为434；减1H 166，复算H2资本开支268百万港元，现金流出口径记为负数；现金流量表全年购置固定资产同为434。,5,official_full_year_minus_h1_capex_reconciliation,"[{""label"": ""HTHKH 2024 Interim Report"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2024 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/highlights.pdf"", ""evidence"": ""2024全年Total revenue、Total EBITDA、Total LBIT和股东应占利润。""}, {""label"": ""HTHKH 2024 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf"", ""evidence"": ""2024全年Revenue、net customer service revenue、total margin、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2024 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf"", ""evidence"": ""2024全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2024 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf"", ""evidence"": ""2024年底现金、总资产和租赁负债。""}]",标准化表数值为空或无法解析，采用官方值。
5,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2025,"Jun 30, 2025",half_year,capital_expenditures,资本开支,-174,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-174,millions HKD,HTHKH 2025 Interim Report,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,2025中报MD&A披露1H 2025 CAPEX excluding telecommunications licences为174百万港元；现金流量表亦列示购买固定资产174百万港元，现金流出口径记为负数。,2,official_interim_capex_multi_section_check,"[{""label"": ""HTHKH 2025 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""evidence"": ""1H 2025 revenue、net customer service revenue、EBITDA、CAPEX和利润表口径。""}, {""label"": ""HTHKH 2025 Interim Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/cashflows.pdf"", ""evidence"": ""1H 2025经营现金流和购置固定资产现金支出。""}]",标准化表与官方值一致，差异 0.000。
6,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2025,"Dec 31, 2025",half_year,capital_expenditures,资本开支,-259,millions HKD,semiannual,official_only_metric,official_only,-259,millions HKD,HTHKH 2025 Annual Report,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,2025年报披露全年CAPEX excluding telecommunications licences为433；减1H 174，复算H2为259百万港元，现金流出口径记为负数。,5,official_full_year_minus_h1_capex_reconciliation,"[{""label"": ""HTHKH 2025 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""evidence"": ""上半年累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2025 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""evidence"": ""2025全年香港业务收入、EBITDA、EBIT、香港业务利润和集团股东应占亏损。""}, {""label"": ""HTHKH 2025 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf"", ""evidence"": ""2025全年香港业务收入、net customer service revenue、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2025 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""evidence"": ""2025全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2025 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf"", ""evidence"": ""2025年底现金、总资产和租赁负债。""}]",官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
7,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2023,"Jun 30, 2023",half_year,cash_and_equivalents,现金及等价物,814,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,814,millions HKD,HTHKH 2023 Interim Report - Financial Statements,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,2023中报资产负债表和现金流量表均披露2023年6月30日Cash and cash equivalents为814百万港元。,3,official_interim_balance_sheet_and_cash_flow_check,"[{""label"": ""HTHKH 2023 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""evidence"": ""1H 2023 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2023 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
8,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2023,"Dec 31, 2023",half_year,cash_and_equivalents,现金及等价物,"1,910",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,1910,millions HKD,HTHKH 2023 Annual Report - Financial Position,https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf,"2023年报资产负债表和现金流量表均披露2023年12月31日Cash and cash equivalents为1,910百万港元。",2,official_annual_balance_sheet_and_cash_flow_check,"[{""label"": ""HTHKH 2023 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf"", ""evidence"": ""2023年底现金、总资产和租赁负债。""}, {""label"": ""HTHKH 2023 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""evidence"": ""2023全年经营现金流和购置固定资产现金支出。""}]",标准化表与官方值一致，差异 0.000。
9,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2024,"Jun 30, 2024",half_year,cash_and_equivalents,现金及等价物,844,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,844,millions HKD,HTHKH 2024 Interim Report - Financial Statements,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,2024中报资产负债表和现金流量表均披露2024年6月30日Cash and cash equivalents为844百万港元。,3,official_interim_balance_sheet_and_cash_flow_check,"[{""label"": ""HTHKH 2024 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2024 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf"", ""evidence"": ""1H 2024 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2024 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
10,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2024,"Dec 31, 2024",half_year,cash_and_equivalents,现金及等价物,"3,168",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,3168,millions HKD,HTHKH 2024 Annual Report - Financial Position,https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf,"2024年报资产负债表和现金流量表均披露2024年12月31日Cash and cash equivalents为3,168百万港元。",2,official_annual_balance_sheet_and_cash_flow_check,"[{""label"": ""HTHKH 2024 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf"", ""evidence"": ""2024年底现金、总资产和租赁负债。""}, {""label"": ""HTHKH 2024 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf"", ""evidence"": ""2024全年经营现金流和购置固定资产现金支出。""}]",标准化表与官方值一致，差异 0.000。
