domain,domain_name,entity,metric,metric_label,period,value,unit,verification_status,source_count,source_urls,scope_note
01,本地运营商,3HK,ebitda,EBITDA,FY2016,1333.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2016/ir2016.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2016/ar2016.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2017/ar2017.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2017,1339.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2017/ir2017.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2017/ar2017.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2018/ar2018.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2018,1157.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2018/ar2018.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2019/ar2019.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2019,1662.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2019/ar2019.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2020/ar2020.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2020,1672.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2020/ar2020.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2021,1420.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2022,1362.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2023,1395.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2024,1469.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf""]",FY2025 EBITDA金额
01,本地运营商,3HK,ebitda,EBITDA,FY2025,1508.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf""]",FY2025 EBITDA金额
