row	status	entities	source_urls	extracted_fields	missing_fields	result_file
2	ok	HKT,csl,1O1O	"【HKT】
- https://www.hkt.com/en/about-hkt/investor-relations/fast-facts/
- https://www.hkt.com/en/about-hkt/investor-relations/financial-results/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
- https://stockanalysis.com/quote/hkg/6823/revenue/
【csl】
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
- https://financialreports.eu/filings/hkt-management-limited-and-hkt-limited/annual-report/2025/32579946/
【1O1O】
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
- https://financialreports.eu/filings/hkt-management-limited-and-hkt-limited/annual-report/2025/32579946/"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支,宽频线数/家宽用户数		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_2.json
3	ok	HKT,csl,1O1O	"【HKT】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
【csl】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
【1O1O】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/"	5G套餐,产品规格,合约期,资费,增值服务,家宽套餐,企业专线,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_3.json
4	partial	HKT,csl,1O1O	"【HKT】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
【csl】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
【1O1O】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/"	战略合作,中标,5G-A,网络API,边缘计算,数据中心,高管人事	投资并购,HKT:投资并购,csl:投资并购,1O1O:投资并购	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_4.json
5	ok	3HK,Hutchison	"【3HK】
- https://www.hthkh.com/en/ir/reports.php
【Hutchison】
- https://www.hthkh.com/en/ir/reports.php
- https://m.hthkh.com/en/ir/presentations.php"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_5.json
6	ok	3HK,Hutchison	"【3HK】
- https://web.three.com.hk/plans/3business5g/index-en.html
- https://web.three.com.hk/plans/apac/index2-en.html
【Hutchison】
- https://web.three.com.hk/plans/3business5g/index-en.html
- https://web.three.com.hk/plans/apac/index2-en.html"	5G套餐,SoSIM/Mo+,企业方案,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_6.json
7	ok	3HK,Hutchison	"【3HK】
- https://m.hthkh.com/en/media/press.php
- https://www.hthkh.com/en/media/press_3hk.php
【Hutchison】
- https://m.hthkh.com/en/media/press.php
- https://www.hthkh.com/en/media/press_3hk.php"	战略合作,中标,5G-A,企业ICT,IoT,区域动作		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_7.json
8	ok	SmarTone	"【SmarTone】
- https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp
- https://financialreports.eu/filings/smartone-telecommunications-holdings-limited/interim-quarterly-report/2026/33085922/
- https://financialreports.eu/filings/smartone-telecommunications-holdings-limited/interim-quarterly-report/2025/17900712/"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_8.json
9	ok	SmarTone	"【SmarTone】
- https://5g.smartone.com/en/mobile_and_price_plans/subscription-offers/
- https://5g.smartone.com/en/mobile_and_price_plans/roaming/apac_worldwide_roaming_data_pack/charges.jsp"	5G套餐,家宽,企业方案,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_9.json
10	ok	SmarTone	"【SmarTone】
- https://www.aastocks.com/en/stocks/analysis/stock-aafn/00315/0/all/1"	战略合作,中标,5G-A,家宽布局,区域动作		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_10.json
11	ok	HKBN	"【HKBN】
- https://www.hkbn.net/group/en/newsroom/press-releases/20251031_FY25_Annual_Results"	总收入,板块收入分拆,EBITDA,净利润,融资成本,资本开支,商誉,资产负债率,用户数,商业楼宇覆盖率		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_11.json
