row	status	entities	source_urls	extracted_fields	missing_fields	result_file
2	ok	HKT,csl,1O1O	"【HKT】
- https://stockanalysis.com/quote/hkg/6823/revenue/
- https://www.hkt.com/en/about-hkt/investor-relations/fast-facts/
- https://www.hkt.com/en/about-hkt/investor-relations/financial-results/
- https://stockanalysis.com/quote/hkg/6823/financials/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
【csl】
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
- https://financialreports.eu/filings/hkt-management-limited-and-hkt-limited/annual-report/2025/32579946/
- https://www.hkcsl.com/en/network-improvement-2025/
【1O1O】
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010.com.hk/
- https://financialreports.eu/filings/hkt-management-limited-and-hkt-limited/annual-report/2025/32579946/"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支,派息,战略升级,券商观点,市场反应,宽频线数/家宽用户数		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_2.json
3	ok	HKT,csl,1O1O	"【HKT】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.hkt.com/en/about-hkt/investor-relations/fast-facts/
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
【csl】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.netvigator.com/eng/
【1O1O】
- https://www.hkcsl-5g.com/en/5g-tariff-plan/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/"	5G套餐,产品规格,合约期,资费,增值服务,家宽套餐,企业专线,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_3.json
4	partial	HKT,csl,1O1O	"【HKT】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.hkt.com/en/about-hkt/investor-relations/fast-facts/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.hkcsl.com/en/network-improvement-2025/
【csl】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card
- https://www.hkcsl.com/en/network-improvement-2025/
【1O1O】
- https://www.1010corporate.com/en/news-updates/ezone-open-api-digital-innovation/
- https://www.1010.com.hk/
- https://www.hkcsl.com/en/csl-local-prepaid-sim-card"	战略合作,中标,投资并购,5G-A,网络API,边缘计算,数据中心,高管人事	csl:投资并购,1O1O:投资并购	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_4.json
5	ok	3HK,Hutchison	"【3HK】
- https://www.hthkh.com/en/ir/reports.php
【Hutchison】
- https://m.hthkh.com/en/ir/presentations.php
- https://www.hthkh.com/en/ir/reports.php"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支,派息,战略升级,券商观点,市场反应		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_5.json
6	ok	3HK,Hutchison	"【3HK】
- https://m.hthkh.com/en/media/press.php
- https://web.three.com.hk/plans/3business5g/index-en.html
- https://www.hthkh.com/en/media/press_3hk.php
- https://web.three.com.hk/plans/apac/index2-en.html
- https://www.hthkh.com/en/media/press.php?prid=/press/p260309
【Hutchison】
- https://m.hthkh.com/en/media/press.php
- https://www.hthkh.com/en/media/press_3hk.php
- https://www.hthkh.com/en/media/press.php?prid=/press/p260309
- https://www.hthkh.com/en/about/cg.php?subsection=cg_policy
- https://www.hthkh.com/en/media/press.php?prid=/press/p240229"	5G套餐,SoSIM/Mo+,企业方案,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_6.json
7	ok	3HK,Hutchison	"【3HK】
- https://www.hthkh.com/en/media/press_3hk.php
- https://m.hthkh.com/en/media/press.php
- https://www.hthkh.com/en/about/cg.php?subsection=cg_policy
- https://www.hthkh.com/en/media/press.php?prid=/press/p240229
- https://www.hthkh.com/en/media/press.php?prid=/press/p250313
【Hutchison】
- https://www.hthkh.com/en/media/press_3hk.php
- https://m.hthkh.com/en/media/press.php
- https://www.hthkh.com/en/about/cg.php?subsection=cg_policy
- https://www.hthkh.com/en/media/press.php?prid=/press/p240229
- https://www.hthkh.com/en/media/press.php?prid=/press/p250313"	战略合作,中标,5G-A,企业ICT,IoT,区域动作		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_7.json
8	ok	SmarTone	"【SmarTone】
- https://financialreports.eu/filings/smartone-telecommunications-holdings-limited/interim-quarterly-report/2025/17900712/
- https://financialreports.eu/filings/smartone-telecommunications-holdings-limited/interim-quarterly-report/2026/33085922/
- https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"	运营收入/总收益,服务收入,EBITDA,净利润,客户数/用户数,5G用户数,ARPU,资本开支,派息,战略升级,券商观点,市场反应		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_8.json
9	ok	SmarTone	"【SmarTone】
- https://5g.smartone.com/en/mobile_and_price_plans/subscription-offers/
- https://5g.smartone.com/en/mobile_and_price_plans/roaming/apac_worldwide_roaming_data_pack/charges.jsp"	5G套餐,家宽,企业方案,漫游,促销折扣		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_9.json
10	ok	SmarTone	"【SmarTone】
- https://www.aastocks.com/en/stocks/analysis/stock-aafn/00315/0/all/1
- https://www.aastocks.com/en/stocks/news/aafn/research-report
- https://www.aastocks.com/en/stocks/news/aafn/result-announcement
- https://www.aastocks.com/en/stocks/market/calendar.aspx"	战略合作,中标,5G-A,家宽布局,区域动作		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_10.json
11	ok	HKBN	"【HKBN】
- https://www.hkbn.net/group/en/newsroom/press-releases/20251031_FY25_Annual_Results"	总收入,板块收入分拆,EBITDA,净利润,融资成本,资本开支,商誉,资产负债率,用户数,商业楼宇覆盖率,派息,战略升级,券商观点,市场反应		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_11.json
