DATE,TV_LIC_QTY,DO_FREE_TV_LIC_QTY,DO_PAY_TV_LIC_QTY,NON_DO_TV_LIC_QTY,OTHER_TV_LIC_QTY,DTT_RATE,DO_PAY_PEN_RATE,TV_AUD_QTY,TV_HH_QTY,DO_PAY_TV_USER_QTY,SOUND_LIC_QTY,MNO_QTY,MVNO_QTY,LOCAL_FNO_QTY,EXT_FNO_QTY,FB_EXT_FNO_QTY,SB_EXT_FNO_QTY,RES_LINE_PEN_RATE,MOBL_PEN_RATE,MOBL_USERS_QTY,MOBL_BB_USERS_QTY,ISP_QTY,BB_USERS_QTY,HH_PEN_RATE,FTTHB_PEN_RATE,FTTH_PEN_RATE,FTTB_PEN_RATE,WIFI_AP_QTY,FTTHB_RES_CVG_RATE,FTTH_RES_CVG_RATE,FTTB_RES_CVG_RATE
2026-05,34,3,1,9,21,,,,,,2,5,26,28,190,42,148,,,,,365,,,,,,,,,
2026-04,34,3,1,9,21,,,,,,2,5,26,28,189,42,147,,,,,363,,,,,,80971,,,
2026-03,34,3,1,9,21,,,,,,2,5,26,28,189,42,147,,,,,362,,,,,,80971,96.9,95.7,1.2
2026-02,34,3,1,9,21,,,,,,2,5,26,28,189,43,146,,,,,359,,,,,,80982,,,
2026-01,34,3,1,9,21,,,,,,2,5,26,29,189,43,146,57.3,440.9,34284693,34277029,359,3072248,100.3,89.7,78.5,11.2,80982,,,
2025-12,34,3,1,9,21,,,,,1464000,2,5,26,29,187,42,145,57.5,441.9,34331146,34323352,356,3064274,100.2,89.5,78.1,11.4,80834,95.3,93.5,1.8
2025-11,34,3,1,9,21,94.2,,6434000,2623000,,2,5,26,29,187,41,146,57.7,429.3,33315661,33307823,354,3044279,99.3,88.7,77.2,11.5,80832,,,
2025-10,34,3,1,9,21,,,,,,2,5,26,29,187,41,146,57.8,421.4,32695614,32687758,353,3036807,98.9,88.3,76.6,11.7,,,,
2025-09,34,3,1,9,21,,,,,,2,5,25,29,187,41,146,58.1,417.5,32359940,32351976,350,3033420,98.6,87.9,76,11.9,82986,94,91.6,2.4
2025-08,34,3,1,9,21,,,,,,2,5,25,29,187,41,146,58.4,406.5,31491938,31484098,347,3026746,98.3,87.7,75.6,12.1,82988,,,
2025-07,34,3,1,9,21,,,,,,2,5,25,29,186,41,145,58.8,391.7,30252897,30244603,345,3016885,98.1,87.6,75.2,12.4,82988,,,
2025-06,34,3,1,9,21,,,,,1448000,2,5,24,29,186,41,145,59.4,379.9,29348191,29339932,342,3013100,98.2,87.6,75,12.6,82987,93.2,90.8,2.4
2025-05,34,3,1,9,21,,,,,,2,5,24,29,187,41,146,59.9,367.8,28405372,28397132,340,3002327,97.8,87.2,74.3,12.9,85630,,,
2025-04,34,3,1,9,21,,,,,,2,5,24,29,187,41,146,60.5,365.1,28313209,28304628,339,2996625,97.7,87,73.9,13.1,85629,,,
2025-03,34,3,1,9,21,,,,,,2,5,24,29,187,41,146,60.7,358.7,27807759,27799223,338,2992284,97.3,86.7,73.4,13.3,85510,93.6,91.2,2.4
2025-02,34,3,1,9,21,,,,,,2,5,24,29,188,41,147,61,351.3,27230686,27222171,337,2986390,97.1,86.4,72.9,13.5,85510,,,
2025-01,34,3,1,9,21,,,,,,2,5,24,29,190,41,149,61.2,357.1,27654223,27645773,333,2986566,96.9,86.1,72.5,13.6,85510,,,
2024-12,34,3,1,9,21,,,,,1433000,2,5,24,29,191,41,150,61.5,359.6,27852819,27843737,334,2986162,96.8,86.1,72.2,13.9,85508,92.8,90.4,2.4
